ID1,ID2,lat,long,alt
L729618,Roosevelt,34.1589773,-103.323884,.
L359290,Socorro,34.1590305,-106.8882018,.
L167943,Johnston,34.1856069,-96.6509428,.
L146218,Socorro,34.2426751,-106.8986765,.
L349010,Socorro,34.2475806,-106.90317,.
L154048,Lincoln,34.248688,-105.59423,.
L275032,Tillman,34.2846781,-98.9394741,.
L281808,Socorro,34.3455437,-106.8729065,.
L1438324,Johnston,34.3511077,-96.7136875,.
L320341,Curry,34.355996,-103.174987,.
L453745,Curry,34.3610095,-103.1193066,.
L286268,Socorro,34.3918165,-106.8736926,.
L278159,Curry,34.4026731,-103.044892,.
L281810,Socorro,34.427852,-106.8153752,.
L2259084,Murray,34.4290777,-97.1409704,.
L278113,De_Baca,34.4315936,-104.2187885,.
L207513,De_Baca,34.439124,-104.2093151,.
L719744,De_Baca,34.442734,-104.0860176,.
L211915,Socorro,34.4619915,-106.8019998,.
L251309,De_Baca,34.4709434,-104.2438485,.
L224271,Socorro,34.4907575,-106.7997509,.
L278152,Curry,34.5212395,-103.1870505,.
L140822,Torrance,34.525406,-106.225784,.
L231455,Socorro,34.532026,-106.778026,.
L357381,Curry,34.535374,-103.0555773,.
L155651,Valencia,34.553215,-106.75537,.
L271780,Valencia,34.5551112,-106.7679254,.
L548515,Torrance,34.5948689,-106.2952298,.
L327120,De_Baca,34.616559,-104.3890913,.
L283609,Curry,34.6181136,-103.055396,.
L162732,Valencia,34.6494,-106.738106,.
L207465,Torrance,34.6635625,-106.3202043,.
L317822,Valencia,34.694522,-106.773237,.
L131692,Curry,34.7304497,-103.0753403,.
L1386703,Comanche,34.7444821,-98.631367,.
L209636,Valencia,34.7597641,-106.7348673,.
L112917,Harmon,34.76645,-99.82898,.
L226766,Valencia,34.784635,-106.728958,.
L283402,Valencia,34.7868869,-106.7205457,.
L1480562,Comanche,34.7898891,-98.7326472,.
L370542,Valencia,34.8020211,-106.7173827,.
L209637,Valencia,34.8461246,-106.7129106,.
L283602,Guadalupe,34.856603,-104.6234437,.
L200084,Bernalillo,34.8829213,-106.7173024,.
L1435538,Grady,34.9327688,-97.7967094,.
L1274260,Guadalupe,34.9380151,-104.6884632,.
L142098,Guadalupe,34.9381558,-104.6814251,.
L213477,Bernalillo,34.9536111,-106.6847222,.
L270293,Bernalillo,34.9615729,-106.6839158,.
L209349,Bernalillo,34.9900467,-106.6884444,.
L201266,Bernalillo,34.9993474,-106.6842413,.
L209351,Bernalillo,35.0073074,-106.6836699,.
L131418,Bernalillo,35.0116768,-106.676712,.
L474149,McKinley,35.03091,-108.9320183,.
L142100,Guadalupe,35.0357094,-104.6678162,.
L728914,Cibola,35.0613364,-107.7116776,.
L140266,Bernalillo,35.0844498,-106.6515808,.
L131200,McKinley,35.0890541,-108.7987442,.
L2043880,Quay,35.1031278,-103.3209229,.
L155907,Guadalupe,35.10625,-105.01793,.
L304435,Bernalillo,35.1131938,-106.6287226,.
L1477970,Grady,35.1206942,-97.7533363,.
L2076062,Bernalillo,35.1220147,-106.6934681,.
L196306,Bernalillo,35.13,-106.683,.
L839345,Bernalillo,35.1304869,-106.6837344,.
L852601,Bernalillo,35.1343696,-106.6912365,.
L716626,Bernalillo,35.1376686,-106.6874814,.
L319020,Bernalillo,35.1406557,-106.6845587,.
L1488818,Cleveland,35.1640238,-97.4420526,.
L504237,Bernalillo,35.1680551,-106.6616249,.
L1237154,Caddo,35.169318,-98.4646225,.
L1089489,Caddo,35.1710019,-98.4599018,.
L351155,Guadalupe,35.1775307,-104.2442716,.
L278717,Quay,35.1825233,-103.6992556,.
L164069,Guadalupe,35.1909,-105.06222,.
L164427,Bernalillo,35.20712,-106.632484,.
L1057569,Cleveland,35.2073373,-97.3973179,.
L1057553,Cleveland,35.2080386,-97.3174095,.
L1357379,Cleveland,35.2083524,-97.2924333,.
L240856,Bernalillo,35.2086128,-106.6160697,.
L1433920,Cleveland,35.2110106,-97.2423554,.
L383356,Cleveland,35.223,-97.227,.
L2111683,McClain,35.223185,-97.6574707,.
L1237156,Caddo,35.2234655,-98.5192108,.
L1450401,Cleveland,35.2317529,-97.2764664,.
L357457,Sandoval,35.256019,-106.5954924,.
L392520,Sandoval,35.2756149,-106.5994406,.
L252668,Cibola,35.2857928,-108.0233901,.
L272714,McKinley,35.3104216,-108.1447732,.
L167636,San_Miguel,35.314526,-105.40684,.
L2625352,McClain,35.3247967,-97.6433086,.
L729665,San_Miguel,35.3299716,-104.5128536,.
L1407781,Cleveland,35.3343996,-97.3355624,.
L1435277,Cleveland,35.33663,-97.3513003,.
L278706,Quay,35.3576964,-103.4727841,.
L279435,San_Miguel,35.3792071,-104.196666,.
L155054,Harding,35.403324,-103.48091,.
L275784,Canadian,35.4995092,-97.6781146,.
L2035783,Canadian,35.5020462,-97.6780701,.
L3008445,Oklahoma,35.5099027,-97.4552429,.
L3001489,Oklahoma,35.511216,-97.4628067,.
L2241700,San_Miguel,35.5144829,-105.2024603,.
L499695,San_Miguel,35.5188143,-105.3643799,.
L168770,Oklahoma,35.52244,-97.670395,.
