"","ID1","ID2","p2025","p2055","p2085","pre"
"59","Kansas","Sumner County",0.0213739646871527,0.0244301702086195,0.0196517224925159,172.670428596257
"60","Kansas","Trego County",0.056693625708959,0.0578244041485053,0.119613841469444,320.449339659531
"61","Kansas","Wabaunsee County",0.0160331799617466,0.0232752209786564,0.040947224305908,153.862365140719
"62","Kansas","Wichita County",0.104449420285893,0.373530989083404,0.244668810861903,215.52258646198
"63","Kansas","Woodson County",0.0113436156742769,0.0104269370892986,0.0243944370578163,161.178375000109
"64","Kansas","Wyandotte County",0.00688314834838733,0.00602476672545322,0.00662279371024554,267.307245467052
"65","New Mexico","Bernalillo County",1.43324454696051,3.89403942443776,3.28971770888894,18.1591357331676
"66","New Mexico","Catron County",0.302287240189106,0.897044239551355,0.563122025750403,29.8994231021907
"67","New Mexico","Chaves County",0.308883336639521,2.32475625667064,1.48144893023283,34.9071029203546
"68","New Mexico","Cibola County",0.585906371386162,1.29461527912083,0.852983174032676,48.3465665328664
"69","New Mexico","Colfax County",0.850617427444945,2.58393771860904,0.626353629901448,67.5596246911317
"70","New Mexico","Curry County",0.833788089112833,1.28188637439848,1.48412736036513,19.2760190961722
"71","New Mexico","De Baca County",1.02541188942766,2.04305991618774,2.26511082361638,19.2745163371944
"72","New Mexico","Dona Ana County",1.08748390464575,4.58543819407437,1.44754930263269,18.5305830417325
"73","New Mexico","Eddy County",0.299207584857153,1.5180601266113,1.30179760899819,19.3899067636834
"74","New Mexico","Grant County",2.23154462092272,4.11038055265548,3.19034708512613,8.49115945588796
"75","New Mexico","Guadalupe County",1.73364277255968,2.44717078840114,1.94316846055155,22.4702055126509
"76","New Mexico","Harding County",0.308887670198336,0.51997123499161,0.855812029943802,43.6545196902147
"77","New Mexico","Hidalgo County",2.13688670908942,2.24110076441329,1.82619308200895,14.2210047798135
"78","New Mexico","Lea County",0.316648847529135,1.92316592942399,1.18641255394772,26.7692030052627
"79","New Mexico","Lincoln County",0.668976678144141,2.66843908997665,0.873666445967994,14.400050406336
"80","New Mexico","Los Alamos County",1.78716899757026,3.70726693730517,2.99668296590978,10.8593883559534
"81","New Mexico","Luna County",1.47387063736465,3.67128546712733,1.75414729195882,19.1546739939224
"82","New Mexico","McKinley County",0.742444942689668,1.29940506670236,0.964819610547217,43.9140657429854
"83","New Mexico","Mora County",0.341037444626749,1.19818163883853,0.673000851780989,39.2278754409484
"84","New Mexico","Otero County",1.27747849657804,5.93193842738206,5.46849641734992,4.50446355247664
"85","New Mexico","Quay County",0.331165302208529,0.803978217266646,0.577381184227966,37.5747492120908
"86","New Mexico","Rio Arriba County",2.55645864431156,2.94826522409953,1.33380777181948,31.5453629881115
"87","New Mexico","Roosevelt County",0.463294298261959,2.45418306553314,1.25258209082517,22.4549472100835
"88","New Mexico","San Juan County",0.553345938131353,1.18158653591203,1.57923859702754,82.5311974478101
"89","New Mexico","San Miguel County",0.932631564303322,1.38888031675291,0.719289334427701,24.2077965153437
"90","New Mexico","Sandoval County",0.558841157633157,3.10006607328994,1.42564436221002,18.1848121261936
"91","New Mexico","Santa Fe County",2.31077777592746,5.81308429728552,2.08531807564194,10.5793908175518
"92","New Mexico","Sierra County",1.11652078792987,3.3001715712378,1.68800037804032,16.8527100502973
"93","New Mexico","Socorro County",1.2981373920184,6.80005080069737,4.7556276739739,21.4675142300807
"94","New Mexico","Taos County",3.07669150479404,4.31101205449465,2.1572423081585,19.219559055552
"95","New Mexico","Torrance County",1.57031213916489,3.30547080361599,1.65049756634139,28.27777206484
"96","New Mexico","Union County",0.721315522068659,0.918780133549439,0.537004756548317,45.9227531799926
"97","New Mexico","Valencia County",2.10347821093479,5.19412513456366,2.6290479639392,18.4857439541867
"98","Oklahoma","Alfalfa County",0.0376299041448629,0.0198546710999207,0.0396713102209766,255.718734722262
